iter	Passed	Remaining
385	710	1129
386	711	1126
387	712	1124
388	714	1121
389	715	1118
390	716	1116
391	718	1113
392	719	1111
393	720	1108
394	722	1106
395	723	1104
396	725	1101
397	726	1098
398	727	1096
399	729	1093
400	730	1091
401	732	1089
402	734	1087
403	736	1086
404	738	1084
405	739	1081
406	740	1079
407	742	1076
408	743	1074
409	745	1072
410	746	1069
411	748	1067
412	749	1065
413	751	1063
414	752	1061
415	754	1058
416	755	1056
417	757	1054
418	758	1051
419	759	1048
420	760	1046
421	762	1043
422	763	1041
423	765	1039
424	767	1037
425	768	1035
426	769	1032
427	771	1030
428	772	1027
429	773	1025
430	774	1022
431	776	1020
432	777	1018
433	778	1015
434	780	1013
435	781	1011
436	783	1008
437	784	1006
438	785	1004
439	787	1001
440	788	999
441	789	997
442	791	994
443	792	992
444	793	989
445	795	987
446	796	985
447	797	983
448	799	980
449	800	978
450	802	976
451	804	975
452	806	973
453	807	971
454	808	968
455	810	967
456	812	965
457	814	963
458	815	961
459	817	959
460	818	956
461	819	954
462	821	952
463	822	949
464	823	947
465	825	945
466	826	943
467	828	941
468	829	939
469	830	936
470	832	934
471	833	932
472	834	929
473	835	927
474	837	925
475	838	922
476	839	920
477	841	918
478	842	916
479	844	914
480	845	912
481	846	909
482	847	907
483	849	905
484	850	903
485	851	900
486	853	898
487	854	896
488	856	894
489	857	892
490	858	890
491	860	888
492	861	885
493	862	883
494	863	881
495	865	879
496	866	876
497	867	874
498	869	872
499	870	870
500	872	868
501	873	866
502	875	864
503	876	862
504	878	860
505	879	858
506	880	856
507	882	854
508	883	852
509	885	850
510	886	848
511	887	846
512	889	844
513	890	842
514	892	840
515	893	838
516	894	836
517	896	833
518	897	831
519	899	829
520	900	828
521	902	826
522	903	824
523	905	822
524	906	820
525	907	817
526	909	815
527	910	814
528	912	812
529	913	810
530	915	808
531	916	806
532	918	804
533	920	803
534	921	801
535	923	799
536	924	797
537	926	795
538	927	793
539	928	791
540	930	789
541	932	787
542	933	785
543	934	783
544	936	781
545	937	779
546	938	777
547	940	775
548	942	773
549	943	772
550	945	770
551	946	768
552	947	766
553	949	764
554	951	762
555	952	760
556	954	758
557	955	757
558	957	755
559	959	753
560	960	751
561	962	749
562	963	747
563	964	745
564	966	743
565	967	741
566	969	740
567	970	738
568	972	736
569	973	734
570	975	732
571	976	730
572	977	728
573	979	726
574	980	724
575	982	723
576	983	721
577	985	719
578	987	717
579	988	716
580	990	714
581	991	712
582	993	710
583	994	708
584	995	706
585	997	704
586	998	702
587	1000	700
588	1001	698
589	1002	696
590	1004	694
591	1005	692
592	1006	690
593	1007	688
594	1009	687
595	1010	685
596	1012	683
597	1025	689
598	1027	687
599	1029	686
600	1030	684
601	1032	682
602	1033	680
603	1034	678
604	1035	676
605	1037	674
606	1038	672
607	1040	670
608	1041	668
609	1043	667
610	1045	665
611	1047	664
612	1049	662
613	1050	660
614	1052	658
615	1053	656
616	1055	655
617	1056	653
618	1057	651
619	1059	649
620	1061	647
621	1062	645
622	1064	643
623	1065	642
624	1066	640
625	1068	638
626	1069	636
627	1071	634
628	1072	632
629	1074	631
630	1076	629
631	1078	627
632	1079	626
633	1081	624
634	1082	622
635	1084	620
636	1085	618
637	1087	616
638	1089	615
639	1091	613
640	1093	612
641	1094	610
642	1096	608
643	1097	606
644	1098	604
645	1100	602
646	1101	600
647	1102	598
648	1104	597
649	1105	595
650	1107	593
651	1108	591
652	1109	589
653	1110	587
654	1112	585
655	1113	583
656	1114	582
657	1116	580
658	1117	578
659	1118	576
660	1120	574
661	1122	573
662	1124	571
663	1125	569
664	1127	567
665	1128	566
666	1130	564
667	1131	562
668	1132	560
669	1134	558
670	1135	556
671	1137	555
672	1138	553
673	1140	551
674	1141	549
675	1142	547
676	1144	545
677	1145	543
678	1146	542
679	1148	540
680	1149	538
681	1151	536
682	1153	535
683	1154	533
684	1155	531
685	1157	529
686	1158	527
687	1159	525
688	1161	524
689	1162	522
690	1164	520
691	1165	518
692	1167	516
693	1168	515
694	1169	513
695	1170	511
696	1172	509
697	1173	507
698	1174	505
699	1176	504
700	1177	502
701	1179	500
702	1180	498
703	1181	496
704	1182	494
705	1184	493
706	1185	491
707	1186	489
708	1187	487
709	1189	485
710	1190	483
711	1191	482
712	1193	480
713	1194	478
714	1196	476
715	1197	475
716	1199	473
717	1201	471
718	1202	469
719	1203	468
720	1204	466
721	1206	464
722	1207	462
723	1209	461
724	1211	459
725	1213	457
726	1214	456
727	1215	454
728	1217	452
729	1218	450
730	1219	448
731	1221	447
732	1222	445
733	1224	443
734	1225	441
735	1226	439
736	1227	438
737	1229	436
738	1230	434
739	1232	432
740	1233	431
741	1234	429
742	1235	427
743	1237	425
744	1239	424
745	1240	422
746	1242	420
747	1243	419
748	1245	417
749	1246	415
750	1247	413
751	1248	411
752	1250	410
753	1251	408
754	1253	406
755	1254	405
756	1256	403
757	1257	401
758	1258	399
759	1260	397
760	1261	396
761	1262	394
762	1264	392
763	1265	390
764	1267	389
765	1268	387
766	1270	385
767	1271	384
768	1273	382
769	1274	380
770	1275	378
771	1277	377
772	1278	375
773	1279	373
774	1280	371
775	1282	370
776	1284	368
777	1285	366
778	1287	365
779	1288	363
780	1289	361
781	1291	359
782	1292	358
783	1293	356
784	1294	354
785	1296	352
786	1297	351
787	1299	349
788	1300	347
789	1302	346
790	1303	344
791	1304	342
792	1306	340
793	1307	339
794	1308	337
795	1310	335
796	1311	334
797	1313	332
798	1314	330
799	1316	329
800	1317	327
801	1318	325
802	1320	323
803	1321	322
804	1322	320
805	1324	318
806	1325	317
807	1326	315
808	1328	313
809	1329	311
810	1330	310
811	1332	308
812	1333	306
813	1334	304
814	1335	303
815	1337	301
816	1338	299
817	1340	298
818	1342	296
819	1344	295
820	1345	293
821	1347	291
822	1348	290
823	1349	288
824	1351	286
825	1352	284
826	1353	283
827	1355	281
828	1356	279
829	1357	278
830	1359	276
831	1360	274
832	1361	273
833	1363	271
834	1364	269
835	1365	267
836	1367	266
837	1368	264
838	1369	262
839	1370	261
840	1372	259
841	1373	257
842	1375	256
843	1376	254
844	1377	252
845	1379	251
846	1380	249
847	1382	247
848	1383	246
849	1385	244
850	1387	242
851	1388	241
852	1389	239
853	1391	237
854	1392	236
855	1393	234
856	1395	232
857	1396	231
858	1397	229
859	1399	227
860	1400	226
861	1402	224
862	1403	222
863	1405	221
864	1406	219
865	1407	217
866	1408	216
867	1410	214
868	1411	212
869	1412	211
870	1414	209
871	1415	207
872	1417	206
873	1419	204
874	1421	203
875	1422	201
876	1423	199
877	1425	198
878	1426	196
879	1427	194
880	1429	193
881	1430	191
882	1432	189
883	1434	188
884	1435	186
885	1437	184
886	1439	183
887	1440	181
888	1442	180
889	1443	178
890	1445	176
891	1447	175
892	1449	173
893	1450	172
894	1452	170
895	1453	168
896	1455	167
897	1456	165
898	1458	163
899	1459	162
900	1462	160
901	1463	159
902	1465	157
903	1466	155
904	1468	154
905	1470	152
906	1471	150
907	1473	149
908	1474	147
909	1476	146
910	1478	144
911	1479	142
912	1480	141
913	1482	139
914	1483	137
915	1484	136
916	1485	134
917	1487	132
918	1488	131
919	1489	129
920	1491	127
921	1492	126
922	1494	124
923	1495	122
924	1496	121
925	1497	119
926	1499	118
927	1500	116
928	1501	114
929	1503	113
930	1504	111
931	1505	109
932	1507	108
933	1508	106
934	1510	104
935	1511	103
936	1512	101
937	1514	100
938	1515	98
939	1516	96
940	1518	95
941	1519	93
942	1520	91
943	1522	90
944	1524	88
945	1525	87
946	1527	85
947	1528	83
948	1529	82
949	1531	80
950	1532	78
951	1533	77
952	1535	75
953	1537	74
954	1538	72
955	1540	70
956	1541	69
957	1542	67
958	1543	66
959	1545	64
960	1546	62
961	1547	61
962	1549	59
963	1551	57
964	1552	56
965	1554	54
966	1555	53
967	1556	51
968	1557	49
969	1559	48
970	1560	46
971	1562	45
972	1563	43
973	1565	41
974	1567	40
975	1569	38
976	1570	36
977	1572	35
978	1573	33
979	1575	32
980	1576	30
981	1577	28
982	1579	27
983	1580	25
984	1582	24
985	1584	22
986	1585	20
987	1587	19
988	1588	17
989	1589	16
990	1591	14
991	1592	12
992	1593	11
993	1595	9
994	1596	8
995	1598	6
996	1600	4
997	1601	3
998	1602	1
999	1604	0
